x,intensity
0.000000000000000000e+00,-6.057322025299072266e-06
2.500625269021838903e-04,-5.967915058135986328e-06
5.001250538043677807e-04,-5.938112735748291016e-06
7.501875516027212143e-04,-5.833804607391357422e-06
1.000250107608735561e-03,-5.796551704406738281e-06
1.250312663614749908e-03,-5.654990673065185547e-06
1.500375103205442429e-03,-5.565583705902099609e-06
1.750437659211456776e-03,-5.476176738739013672e-06
2.000500215217471123e-03,-5.424022674560546875e-06
2.250562654808163643e-03,-5.327165126800537109e-06
2.500625327229499817e-03,-5.200505256652832031e-06
2.750687766820192337e-03,-5.163252353668212891e-06
3.000750206410884857e-03,-5.096197128295898438e-06
3.250812878832221031e-03,-4.984438419342041016e-06
3.500875318422913551e-03,-4.939734935760498047e-06
3.750937990844249725e-03,-4.760921001434326172e-06
4.001000430434942245e-03,-4.775822162628173828e-06
4.251062870025634766e-03,-4.641711711883544922e-06
4.501125309616327286e-03,-4.597008228302001953e-06
4.751188214868307114e-03,-4.477798938751220703e-06
5.001250654458999634e-03,-4.447996616363525391e-06
5.251313094049692154e-03,-4.336237907409667969e-06
5.501375533640384674e-03,-4.239380359649658203e-06
5.751437973231077194e-03,-4.135072231292724609e-06
6.001500412821769714e-03,-4.068017005920410156e-06
6.251563318073749542e-03,-4.008412361145019531e-06
6.501625757664442062e-03,-3.881752490997314453e-06
6.751688197255134583e-03,-3.837049007415771484e-06
7.001750636845827103e-03,-3.740191459655761719e-06
7.251813076436519623e-03,-3.620982170104980469e-06
7.501875981688499451e-03,-3.561377525329589844e-06
7.751938421279191971e-03,-3.479421138763427734e-06
8.002000860869884491e-03,-3.390014171600341797e-06
8.252063766121864319e-03,-3.248453140258789062e-06
8.502125740051269531e-03,-3.211200237274169922e-06
8.752188645303249359e-03,-3.173947334289550781e-06
9.002250619232654572e-03,-3.077089786529541016e-06
9.252313524484634399e-03,-3.017485141754150391e-06
9.502376429736614227e-03,-2.883374691009521484e-06
9.752438403666019440e-03,-2.831220626831054688e-06
1.000250130891799927e-02,-2.719461917877197266e-06
1.025256328284740448e-02,-2.622604370117187500e-06
1.050262618809938431e-02,-2.548098564147949219e-06
1.075268909335136414e-02,-2.481043338775634766e-06
1.100275106728076935e-02,-2.346932888031005859e-06
1.125281397253274918e-02,-2.294778823852539062e-06
1.150287594646215439e-02,-2.227723598480224609e-06
1.175293885171413422e-02,-2.108514308929443359e-06
1.200300082564353943e-02,-2.026557922363281250e-06
1.225306373089551926e-02,-1.937150955200195312e-06
1.250312663614749908e-02,-1.825392246246337891e-06
1.275318861007690430e-02,-1.735985279083251953e-06
1.300325151532888412e-02,-1.654028892517089844e-06
1.325331348925828934e-02,-1.579523086547851562e-06
1.350337639451026917e-02,-1.482665538787841797e-06
1.375343929976224899e-02,-1.408159732818603516e-06
1.400350127369165421e-02,-1.274049282073974609e-06
1.425356417894363403e-02,-1.251697540283203125e-06
1.450362615287303925e-02,-1.125037670135498047e-06
1.475368905812501907e-02,-1.065433025360107422e-06
1.500375196337699890e-02,-9.536743164062500000e-07
1.525381393730640411e-02,-8.866190910339355469e-07
1.550387684255838394e-02,-7.599592208862304688e-07
1.575393974781036377e-02,-7.674098014831542969e-07
1.600400172173976898e-02,-6.780028343200683594e-07
1.625406369566917419e-02,-5.587935447692871094e-07
1.650412753224372864e-02,-4.544854164123535156e-07
1.675418950617313385e-02,-3.948807716369628906e-07
1.700425148010253906e-02,-2.533197402954101562e-07
1.725431345403194427e-02,-1.937150955200195312e-07
1.750437729060649872e-02,-1.266598701477050781e-07
1.775443926453590393e-02,1.490116119384765625e-08
1.800450123846530914e-02,1.043081283569335938e-07
1.825456507503986359e-02,1.415610313415527344e-07
1.850462704896926880e-02,1.713633537292480469e-07
1.875468902289867401e-02,3.278255462646484375e-07
1.900475285947322845e-02,4.246830940246582031e-07
1.925481483340263367e-02,5.289912223815917969e-07
1.950487680733203888e-02,5.736947059631347656e-07
1.975493878126144409e-02,6.929039955139160156e-07
2.000500261783599854e-02,7.823109626770019531e-07
2.025506459176540375e-02,8.717179298400878906e-07
2.050512656569480896e-02,9.387731552124023438e-07
2.075519040226936340e-02,1.035630702972412109e-06
2.100525237619876862e-02,1.162290573120117188e-06
2.125531435012817383e-02,1.184642314910888672e-06
2.150537818670272827e-02,1.303851604461669922e-06
2.175544016063213348e-02,1.363456249237060547e-06
2.200550213456153870e-02,1.467764377593994141e-06
2.225556410849094391e-02,1.534819602966308594e-06
2.250562794506549835e-02,1.668930053710937500e-06
2.275568991899490356e-02,1.773238182067871094e-06
2.300575189292430878e-02,1.810491085052490234e-06
2.325581572949886322e-02,1.914799213409423828e-06
2.350587770342826843e-02,1.966953277587890625e-06
2.375593967735767365e-02,2.063810825347900391e-06
2.400600165128707886e-02,2.168118953704833984e-06
2.425606548786163330e-02,2.212822437286376953e-06
2.450612746179103851e-02,2.332031726837158203e-06
2.475618943572044373e-02,2.451241016387939453e-06
2.500625327229499817e-02,2.481043338775634766e-06
2.525631524622440338e-02,2.570450305938720703e-06
2.550637722015380859e-02,2.674758434295654297e-06
2.575644105672836304e-02,2.741813659667968750e-06
2.600650303065776825e-02,2.868473529815673828e-06
2.625656500458717346e-02,2.950429916381835938e-06
2.650662697851657867e-02,2.980232238769531250e-06
2.675669081509113312e-02,3.121793270111083984e-06
2.700675278902053833e-02,3.255903720855712891e-06
2.725681476294994354e-02,3.270804882049560547e-06
2.750687859952449799e-02,3.382563591003417969e-06
2.775694057345390320e-02,3.434717655181884766e-06
2.800700254738330841e-02,3.539025783538818359e-06
2.825706638395786285e-02,3.643333911895751953e-06
2.850712835788726807e-02,3.725290298461914062e-06
2.875719033181667328e-02,3.784894943237304688e-06
2.900725230574607849e-02,3.829598426818847656e-06
2.925731614232063293e-02,3.986060619354248047e-06
2.950737811625003815e-02,3.986060619354248047e-06
2.975744009017944336e-02,4.135072231292724609e-06
3.000750392675399780e-02,4.254281520843505859e-06
3.025756590068340302e-02,4.343688488006591797e-06
3.050762787461280823e-02,4.403293132781982422e-06
3.075769171118736267e-02,4.462897777557373047e-06
3.100775368511676788e-02,4.500150680541992188e-06
3.125781565904617310e-02,4.641711711883544922e-06
3.150787949562072754e-02,4.678964614868164062e-06
3.175793960690498352e-02,4.850327968597412109e-06
3.200800344347953796e-02,4.820525646209716797e-06
3.225806728005409241e-02,4.932284355163574219e-06
3.250812739133834839e-02,5.073845386505126953e-06
3.275819122791290283e-02,5.133450031280517578e-06
3.300825506448745728e-02,5.222856998443603516e-06
3.325831517577171326e-02,5.304813385009765625e-06
3.350837901234626770e-02,5.349516868591308594e-06
3.375844284892082214e-02,5.476176738739013672e-06
3.400850296020507812e-02,5.558133125305175781e-06
3.425856679677963257e-02,5.625188350677490234e-06
3.450862690806388855e-02,5.684792995452880859e-06
3.475869074463844299e-02,5.751848220825195312e-06
3.500875458121299744e-02,5.841255187988281250e-06
3.525881469249725342e-02,5.953013896942138672e-06
3.550887852907180786e-02,5.990266799926757812e-06
3.575894236564636230e-02,6.124377250671386719e-06
3.600900247693061829e-02,6.191432476043701172e-06
3.625906631350517273e-02,6.288290023803710938e-06
3.650913015007972717e-02,6.318092346191406250e-06
3.675919026136398315e-02,6.385147571563720703e-06
3.700925409793853760e-02,6.467103958129882812e-06
3.725931793451309204e-02,6.563961505889892578e-06
3.750937804579734802e-02,6.653368473052978516e-06
3.775944188237190247e-02,6.727874279022216797e-06
3.800950571894645691e-02,6.802380084991455078e-06
3.825956583023071289e-02,6.876885890960693359e-06
3.850962966680526733e-02,6.951391696929931641e-06
3.875969350337982178e-02,7.048249244689941406e-06
3.900975361466407776e-02,7.160007953643798828e-06
3.925981745123863220e-02,7.204711437225341797e-06
3.950987756252288818e-02,7.279217243194580078e-06
3.975994139909744263e-02,7.420778274536132812e-06
4.001000523567199707e-02,7.413327693939208984e-06
4.026006534695625305e-02,7.539987564086914062e-06
4.051012918353080750e-02,7.614493370056152344e-06
4.076019302010536194e-02,7.703900337219238281e-06
4.101025313138961792e-02,7.748603820800781250e-06
4.126031696796417236e-02,7.830560207366943359e-06
4.151038080453872681e-02,7.897615432739257812e-06
4.176044091582298279e-02,7.934868335723876953e-06
4.201050475239753723e-02,8.039176464080810547e-06
4.226056858897209167e-02,8.128583431243896484e-06
4.251062870025634766e-02,8.188188076019287109e-06
4.276069253683090210e-02,8.255243301391601562e-06
4.301075637340545654e-02,8.389353752136230469e-06
4.326081648468971252e-02,8.419156074523925781e-06
4.351088032126426697e-02,8.516013622283935547e-06
4.376094043254852295e-02,8.553266525268554688e-06
