x,intensity
0.000000000000000000e+00,3.680855854801800357e-272
2.500625156289072531e-04,3.680855854801800357e-272
5.001250312578145061e-04,3.682453399389186417e-272
7.501875468867217050e-04,3.687032743902437429e-272
1.000250062515629012e-03,3.697176536416084662e-272
1.250312578144536320e-03,3.717701794465736595e-272
1.500375093773443410e-03,3.757590149089902835e-272
1.750437609402350717e-03,3.833583170475535810e-272
2.000500125031258025e-03,3.976877020381180537e-272
2.250562640660165332e-03,4.245584276450214078e-272
2.500625156289072639e-03,4.747923839002335748e-272
2.750687671917979946e-03,5.685360933923738217e-272
3.000750187546886820e-03,7.432834957200242776e-272
3.250812703175794127e-03,1.068791311809762947e-271
3.500875218804701434e-03,1.674799884414238258e-271
3.750937734433608742e-03,2.802537385541478161e-271
4.001000250062516049e-03,4.900382554862273312e-271
4.251062765691423356e-03,8.801490764464138980e-271
4.501125281320330664e-03,1.605350572351433419e-270
4.751187796949237971e-03,2.953038250707119038e-270
5.001250312578145278e-03,5.456734887015923724e-270
5.251312828207052585e-03,1.010656531290062290e-269
5.501375343835959893e-03,1.873945248215867092e-269
5.751437859464867200e-03,3.476226927600952774e-269
6.001500375093773640e-03,6.449163810691804697e-269
6.251562890722680947e-03,1.196354293047708898e-268
6.501625406351588254e-03,2.218874057854312681e-268
6.751687921980495562e-03,4.114318182032291766e-268
7.001750437609402869e-03,7.626803032819972944e-268
7.251812953238310176e-03,1.413382299928869374e-267
7.501875468867217484e-03,2.618457167231862514e-267
7.751937984496124791e-03,4.849511419238934532e-267
8.002000500125032098e-03,8.978754470233176386e-267
8.252063015753938538e-03,1.661878292899166790e-266
8.502125531382846713e-03,3.075013512710639420e-266
8.752188047011753153e-03,5.687997085526017879e-266
9.002250562640661327e-03,1.051807184899067482e-265
9.252313078269567767e-03,1.944362707892468310e-265
9.502375593898475942e-03,3.593211555663271610e-265
9.752438109527382382e-03,6.638235159119212262e-265
1.000250062515629056e-02,1.225989672325471630e-264
1.025256314078519700e-02,2.263525123107394819e-264
1.050262565641410517e-02,4.177804884163341307e-264
1.075268817204301161e-02,7.708596491936857327e-264
1.100275068767191979e-02,1.421892612529020723e-263
1.125281320330082623e-02,2.621939144516417405e-263
1.150287571892973440e-02,4.833288753185213309e-263
1.175293823455864084e-02,8.906912806947451825e-263
1.200300075018754728e-02,1.640876838075575930e-262
1.225306326581645545e-02,3.021962657811981074e-262
1.250312578144536189e-02,5.563736163164564775e-262
1.275318829707427007e-02,1.024019639606462690e-261
1.300325081270317651e-02,1.884145207632926664e-261
1.325331332833208468e-02,3.465650627631636323e-261
1.350337584396099112e-02,6.372641890687112254e-261
1.375343835958989930e-02,1.171436021372982262e-260
1.400350087521880574e-02,2.152692314314985095e-260
1.425356339084771391e-02,3.954664742270287533e-260
1.450362590647662035e-02,7.262760276535979552e-260
1.475368842210552853e-02,1.333392699979552724e-259
1.500375093773443497e-02,2.447252398588544398e-259
1.525381345336334314e-02,4.490180285955194121e-259
1.550387596899224958e-02,8.235938995284243082e-259
1.575393848462115776e-02,1.510173307709061515e-258
1.600400100025006420e-02,2.768246663948672289e-258
1.625406351587897064e-02,5.072792607450612948e-258
1.650412603150787708e-02,9.292953331952048511e-258
1.675418854713678699e-02,1.701863531311312269e-257
1.700425106276569343e-02,3.115731571058424432e-257
1.725431357839459987e-02,5.702426089947419123e-257
1.750437609402350631e-02,1.043334629627893919e-256
1.775443860965241621e-02,1.908323099233808960e-256
1.800450112528132265e-02,3.489349887121556347e-256
1.825456364091022909e-02,6.378248852692504114e-256
1.850462615653913553e-02,1.165528043366793534e-255
1.875468867216804544e-02,2.129160120059273750e-255
1.900475118779695188e-02,3.888286404297410126e-255
1.925481370342585832e-02,7.098596631329329698e-255
1.950487621905476476e-02,1.295540752692865459e-254
1.975493873468367467e-02,2.363708882655476992e-254
2.000500125031258111e-02,4.311230313465089188e-254
2.025506376594148755e-02,7.860909381302117232e-254
2.050512628157039399e-02,1.432876249797141759e-253
2.075518879719930043e-02,2.611012238294924733e-253
2.100525131282821034e-02,4.756346217342894732e-253
2.125531382845711678e-02,8.661684108674296330e-253
2.150537634408602322e-02,1.576868768195513025e-252
2.175543885971492966e-02,2.869809648793567252e-252
2.200550137534383957e-02,5.221255680997580446e-252
2.225556389097274601e-02,9.496447240790802102e-252
2.250562640660165245e-02,1.726679323473922037e-251
2.275568892223055889e-02,3.138531898864422770e-251
2.300575143785946880e-02,5.703031042426916764e-251
2.325581395348837524e-02,1.035974949688813110e-250
2.350587646911728168e-02,1.881295873580776508e-250
2.375593898474618812e-02,3.415303333822333093e-250
2.400600150037509456e-02,6.198202939507861935e-250
2.425606401600400447e-02,1.124518570503258322e-249
2.450612653163291091e-02,2.039538006496281443e-249
2.475618904726181735e-02,3.697952296508177937e-249
2.500625156289072379e-02,6.702782655070570958e-249
2.525631407851963370e-02,1.214544134395309489e-248
2.550637659414854014e-02,2.200066437884678289e-248
2.575643910977744658e-02,3.984030203458520472e-248
2.600650162540635302e-02,7.212299946940399329e-248
2.625656414103526293e-02,1.305236678236412535e-247
2.650662665666416937e-02,2.361397452500458024e-247
2.675668917229307581e-02,4.270839426429462402e-247
2.700675168792198225e-02,7.721856527232374479e-247
2.725681420355089216e-02,1.395707926916420855e-246
2.750687671917979860e-02,2.521922255482496176e-246
2.775693923480870504e-02,4.555469840523735438e-246
2.800700175043761148e-02,8.226194802334000536e-246
2.825706426606651792e-02,1.485009172811468105e-245
2.850712678169542783e-02,2.679931019362540688e-245
2.875718929732433427e-02,4.834843575880119884e-245
2.900725181295324070e-02,8.719780903370360687e-245
2.925731432858214714e-02,1.572146637018034550e-244
2.950737684421105705e-02,2.833641227016218784e-244
2.975743935983996349e-02,5.105767179716318007e-244
3.000750187546886993e-02,9.196900451222891942e-244
3.025756439109777637e-02,1.656099010064057567e-243
3.050762690672668628e-02,2.981229728059038271e-243
3.075768942235559272e-02,5.364990074251149043e-243
3.100775193798449916e-02,9.651764937128736002e-243
3.125781445361340560e-02,1.735836771459070356e-242
3.150787696924231551e-02,3.120867755003899789e-242
3.175793948487121848e-02,5.609267899140926785e-242
3.200800200050012839e-02,1.007862608705170121e-241
3.225806451612903830e-02,1.810342799234530631e-241
3.250812703175794127e-02,3.250757994457635506e-241
3.275818954738685118e-02,5.835429069784507166e-241
3.300825206301575415e-02,1.047189514211769724e-240
3.325831457864466406e-02,1.878633707228077494e-240
3.350837709427357397e-02,3.369172685911787338e-240
3.375843960990247694e-02,6.040442679242465281e-240
3.400850212553138685e-02,1.082626365280009508e-239
3.425856464116029676e-02,1.939781293475520498e-239
3.450862715678919973e-02,3.474491633433349952e-239
3.475868967241810964e-02,6.221485733879029035e-239
3.500875218804701261e-02,1.113682217187955088e-238
3.525881470367592252e-02,1.992933451139739489e-238
3.550887721930483243e-02,3.565238969513019772e-238
3.575893973493373540e-02,6.376007650469650397e-238
3.600900225056264531e-02,1.139917315578365101e-237
3.625906476619154828e-02,2.037333886404383780e-237
3.650912728182045819e-02,3.640117509419969835e-237
3.675918979744936810e-02,6.501789961628280978e-237
3.700925231307827107e-02,1.160953445495085756e-236
3.725931482870718098e-02,2.072340007003264230e-236
3.750937734433609089e-02,3.698039580406918951e-236
3.775943985996499386e-02,6.596999279082223159e-236
3.800950237559390377e-02,1.176482999337067758e-235
3.825956489122280674e-02,2.097438390605699721e-235
3.850962740685171665e-02,3.738153302525438579e-235
3.875968992248062656e-02,6.660231748663699271e-235
3.900975243810952953e-02,1.186276460016314117e-234
3.925981495373843944e-02,2.112257312833830072e-234
3.950987746936734935e-02,3.759863433790463640e-234
3.975993998499625232e-02,6.690547490785913586e-234
4.001000250062516223e-02,1.190188044925803087e-233
4.026006501625406520e-02,2.116575907698284550e-233
4.051012753188297510e-02,3.762846066824634643e-233
4.076019004751188501e-02,6.687493845523654956e-233
4.101025256314078798e-02,1.188159316740904990e-232
4.126031507876969789e-02,2.110329644943947886e-232
4.151037759439860086e-02,3.747056669829827395e-232
4.176044011002751077e-02,6.651116618792470044e-232
4.201050262565642068e-02,1.180220636054872320e-231
4.226056514128532365e-02,2.093611934450576134e-231
4.251062765691423356e-02,3.712731192877262927e-231
4.276069017254314347e-02,6.581958939093977109e-231
4.301075268817204644e-02,1.166490405378196852e-230
4.326081520380095635e-02,2.066671801935465611e-230
4.351087771942985932e-02,3.660380201109182247e-230
4.376094023505876923e-02,6.481047764709023832e-230
4.401100275068767914e-02,1.147172130813354116e-229
4.426106526631658211e-02,2.029907716794086150e-229
4.451112778194549202e-02,3.590776238733934445e-229
4.476119029757439499e-02,6.349868509842299212e-229
4.501125281320330490e-02,1.122549403321256305e-228
4.526131532883221481e-02,1.983857785889631239e-228
4.551137784446111778e-02,3.504934860911686637e-228
4.576144036009002769e-02,6.190328665952777663e-228
4.601150287571893760e-02,1.092978972564814146e-227
4.626156539134784057e-02,1.929186650580210673e-227
4.651162790697675048e-02,3.404089984412698892e-227
4.676169042260565345e-02,6.004711663399574849e-227
4.701175293823456336e-02,1.058882149728246009e-226
4.726181545386347327e-02,1.866669532848411407e-226
4.751187796949237624e-02,3.289664393074332840e-226
4.776194048512128615e-02,5.795622532746533315e-226
4.801200300075018912e-02,1.020734828772215845e-225
4.826206551637909903e-02,1.797173965514949384e-225
4.851212803200800894e-02,3.163236382816174587e-225
4.876219054763691191e-02,5.565927171631643401e-225
4.901225306326582182e-02,9.790564561392484089e-225
4.926231557889473173e-02,1.721639807607528324e-224
4.951237809452363470e-02,3.026503637545056267e-224
