x,intensity
0.000000000000000000e+00,5.065184086561203003e-05
2.500625269021838903e-04,5.056895315647125244e-05
5.001250538043677807e-04,5.047861486673355103e-05
7.501875516027212143e-04,5.037337541580200195e-05
1.000250107608735561e-03,5.028862506151199341e-05
1.250312663614749908e-03,5.022902041673660278e-05
1.500375103205442429e-03,5.011539906263351440e-05
1.750437659211456776e-03,5.004648119211196899e-05
2.000500215217471123e-03,4.995521157979965210e-05
2.250562654808163643e-03,4.987232387065887451e-05
2.500625327229499817e-03,4.980340600013732910e-05
2.750687766820192337e-03,4.971213638782501221e-05
3.000750206410884857e-03,4.962179809808731079e-05
3.250812878832221031e-03,4.952959716320037842e-05
3.500875318422913551e-03,4.944670945405960083e-05
3.750937990844249725e-03,4.935450851917266846e-05
4.001000430434942245e-03,4.927814006805419922e-05
4.251062870025634766e-03,4.919525235891342163e-05
4.501125309616327286e-03,4.909560084342956543e-05
4.751188214868307114e-03,4.901271313428878784e-05
5.001250654458999634e-03,4.893541336059570312e-05
5.251313094049692154e-03,4.882831126451492310e-05
5.501375533640384674e-03,4.877429455518722534e-05
5.751437973231077194e-03,4.867650568485260010e-05
6.001500412821769714e-03,4.859920591115951538e-05
6.251563318073749542e-03,4.851538687944412231e-05
6.501625757664442062e-03,4.840828478336334229e-05
6.751688197255134583e-03,4.832353442907333374e-05
7.001750636845827103e-03,4.823226481676101685e-05
7.251813076436519623e-03,4.815682768821716309e-05
7.501875981688499451e-03,4.808697849512100220e-05
7.751938421279191971e-03,4.797987639904022217e-05
8.002000860869884491e-03,4.792585968971252441e-05
8.252063766121864319e-03,4.782527685165405273e-05
8.502125740051269531e-03,4.774145781993865967e-05
8.752188645303249359e-03,4.767160862684249878e-05
9.002250619232654572e-03,4.757940769195556641e-05
9.252313524484634399e-03,4.749465733766555786e-05
9.502376429736614227e-03,4.741828888654708862e-05
9.752438403666019440e-03,4.733353853225708008e-05
1.000250130891799927e-02,4.722643643617630005e-05
1.025256328284740448e-02,4.714913666248321533e-05
1.050262618809938431e-02,4.709511995315551758e-05
1.075268909335136414e-02,4.698708653450012207e-05
1.100275106728076935e-02,4.690885543823242188e-05
1.125281397253274918e-02,4.682503640651702881e-05
1.150287594646215439e-02,4.673935472965240479e-05
1.175293885171413422e-02,4.666205495595932007e-05
1.200300082564353943e-02,4.657730460166931152e-05
1.225306373089551926e-02,4.648417234420776367e-05
1.250312663614749908e-02,4.640687257051467896e-05
1.275318861007690430e-02,4.631560295820236206e-05
1.300325151532888412e-02,4.623737186193466187e-05
1.325331348925828934e-02,4.616659134626388550e-05
1.350337639451026917e-02,4.608184099197387695e-05
1.375343929976224899e-02,4.599615931510925293e-05
1.400350127369165421e-02,4.590395838022232056e-05
1.425356417894363403e-02,4.581082612276077271e-05
1.450362615287303925e-02,4.574004560708999634e-05
1.475368905812501907e-02,4.565436393022537231e-05
1.500375196337699890e-02,4.558451473712921143e-05
1.525381393730640411e-02,4.549790173768997192e-05
1.550387684255838394e-02,4.542153328657150269e-05
1.575393974781036377e-02,4.534237086772918701e-05
1.600400172173976898e-02,4.523526877164840698e-05
1.625406369566917419e-02,4.516448825597763062e-05
1.650412753224372864e-02,4.508532583713531494e-05
1.675418950617313385e-02,4.499964416027069092e-05
1.700425148010253906e-02,4.492234438657760620e-05
1.725431345403194427e-02,4.482921212911605835e-05
1.750437729060649872e-02,4.473607987165451050e-05
1.775443926453590393e-02,4.467088729143142700e-05
1.800450123846530914e-02,4.460848867893218994e-05
1.825456507503986359e-02,4.450790584087371826e-05
1.850462704896926880e-02,4.443619400262832642e-05
1.875468902289867401e-02,4.437286406755447388e-05
1.900475285947322845e-02,4.427880048751831055e-05
1.925481483340263367e-02,4.419311881065368652e-05
1.950487680733203888e-02,4.409998655319213867e-05
1.975493878126144409e-02,4.403572529554367065e-05
2.000500261783599854e-02,4.394911229610443115e-05
2.025506459176540375e-02,4.386249929666519165e-05
2.050512656569480896e-02,4.378519952297210693e-05
2.075519040226936340e-02,4.371348768472671509e-05
2.100525237619876862e-02,4.361942410469055176e-05
2.125531435012817383e-02,4.354864358901977539e-05
2.150537818670272827e-02,4.347600042819976807e-05
2.175544016063213348e-02,4.338938742876052856e-05
2.200550213456153870e-02,4.331115633249282837e-05
2.225556410849094391e-02,4.323851317167282104e-05
2.250562794506549835e-02,4.314538091421127319e-05
2.275568991899490356e-02,4.305131733417510986e-05
2.300575189292430878e-02,4.298705607652664185e-05
2.325581572949886322e-02,4.290789365768432617e-05
2.350587770342826843e-02,4.282034933567047119e-05
2.375593967735767365e-02,4.274118691682815552e-05
2.400600165128707886e-02,4.267040640115737915e-05
2.425606548786163330e-02,4.258193075656890869e-05
2.450612746179103851e-02,4.251766949892044067e-05
2.475618943572044373e-02,4.242360591888427734e-05
2.500625327229499817e-02,4.235934466123580933e-05
2.525631524622440338e-02,4.228763282299041748e-05
2.550637722015380859e-02,4.219915717840194702e-05
2.575644105672836304e-02,4.211347550153732300e-05
2.600650303065776825e-02,4.204083234071731567e-05
2.625656500458717346e-02,4.196818917989730835e-05
2.650662697851657867e-02,4.188157618045806885e-05
2.675669081509113312e-02,4.180800169706344604e-05
2.700675278902053833e-02,4.172232002019882202e-05
2.725681476294994354e-02,4.163384437561035156e-05
2.750687859952449799e-02,4.156958311796188354e-05
2.775694057345390320e-02,4.148948937654495239e-05
2.800700254738330841e-02,4.140194505453109741e-05
2.825706638395786285e-02,4.133023321628570557e-05
2.850712835788726807e-02,4.125665873289108276e-05
2.875719033181667328e-02,4.118401557207107544e-05
2.900725230574607849e-02,4.109647125005722046e-05
2.925731614232063293e-02,4.102382808923721313e-05
2.950737811625003815e-02,4.095118492841720581e-05
2.975744009017944336e-02,4.087854176759719849e-05
3.000750392675399780e-02,4.081334918737411499e-05
3.025756590068340302e-02,4.070997238159179688e-05
3.050762787461280823e-02,4.062894731760025024e-05
3.075769171118736267e-02,4.057306796312332153e-05
3.100775368511676788e-02,4.049111157655715942e-05
3.125781565904617310e-02,4.041101783514022827e-05
3.150787949562072754e-02,4.032254219055175781e-05
3.175793960690498352e-02,4.024244844913482666e-05
3.200800344347953796e-02,4.017632454633712769e-05
3.225806728005409241e-02,4.011113196611404419e-05
3.250812739133834839e-02,4.001520574092864990e-05
